,Localtime,gps_epoch_second,Receivetime,gps_epoch_second,Receivetime,Week,Seconds,DataCount,PitchRate,RollRate,YawRate,LateralAcc,LongitudinalAcc,VerticalAcc,CrcCheck
0,2024-02-03_02:04:18,1706925752 ,1706925858304502,1706925751730 ,1706925858305 ,2299,525769730,1,0.00016321,0.000158698,0.000592183,-0.004369,-0.003059512,-0.001048965,3060703127
1,2024-02-03_02:04:18,1706925752 ,1706925858305034,1706925751740 ,1706925858305 ,2299,525769740,2,0.000279877,0.000349698,0.001191151,-0.008813775,-0.004519729,-0.001779416,616337621
2,2024-02-03_02:04:18,1706925752 ,1706925858305519,1706925751750 ,1706925858306 ,2299,525769750,1,0.000172774,0.000211618,0.000594482,-0.003953917,-0.00305786,-0.002474087,1986830645
3,2024-02-03_02:04:18,1706925752 ,1706925858306043,1706925751760 ,1706925858306 ,2299,525769760,1,0.000265099,0.000233079,0.000585501,-0.004093261,-0.004233452,-0.002042127,3551649551
4,2024-02-03_02:04:18,1706925752 ,1706925858306438,1706925751770 ,1706925858306 ,2299,525769770,1,0.000339228,0.000221971,0.000578854,-0.0054115,-0.003542577,0.00256625,799333277
5,2024-02-03_02:04:18,1706925752 ,1706925858307207,1706925751780 ,1706925858307 ,2299,525769780,2,0.000456713,0.000317434,0.001180563,-0.010850623,-0.002332444,0.009551176,3437417614
6,2024-02-03_02:04:18,1706925752 ,1706925858307675,1706925751790 ,1706925858308 ,2299,525769790,1,0.000105258,7.44437441089e-05,0.000612166,-0.004434074,-0.003044049,-0.000177519,3699225498
7,2024-02-03_02:04:18,1706925752 ,1706925858308837,1706925751800 ,1706925858309 ,2299,525769800,1,0.000161794,5.48210532522e-05,0.000610272,-0.003984828,-0.003686582,0.00033222,777462467
8,2024-02-03_02:04:18,1706925752 ,1706925858309409,1706925751810 ,1706925858309 ,2299,525769810,1,0.000220351,3.09440993874e-05,0.000614437,-0.005414341,-0.002519992,0.00335533,1745161401
9,2024-02-03_02:04:18,1706925752 ,1706925858310030,1706925751820 ,1706925858310 ,2299,525769820,2,0.000250644,-9.45E-05,0.001239845,-0.013097508,-0.001693905,0.009367371,1814434900
10,2024-02-03_02:04:18,1706925752 ,1706925858310633,1706925751830 ,1706925858311 ,2299,525769830,1,5.33316649124e-05,-0.000161571,0.000610962,-0.007421536,-0.003105977,0.002773531,3093575627
