,Localtime,gps_epoch_second,Receivetime,gps_epoch_second,time_window,Receivetime,diff,Week,Seconds,InsStatus,PosType,Lalitude,Longitude,Height,Undulation,NorthVel,EastVel,UpVel,Roll,Pitch,Azimuth,Latstdev,LongStdev,HeightStdev,NorthVelStdev,EastVelStdev,up_vel_stdev,RollVelStdev,PitchVelStdev,AzimuthVelStdev,ExtSolStat,TimeSinceUpdate,CrcCheck
0,2024-02-03_02:04:18,1706925752 ,1706925858308450 ,1706925751800 ,100 ,1706925858308 ,106508 ,2299,525769800,3,56,22.84389542,113.5111472,3.171326931,-5.5,-4.459218813,-5.695515214,0.002286008,0.915986617,-0.04277941,233.2091508,0.036491219,0.036732703,0.033207946,0.019274538,0.019031035,0.010913135,0.030525567,0.030593922,0.170022786,0,0,3880086779
1,2024-02-03_02:04:18,1706925752 ,1706925858314300 ,1706925751900 ,100 ,1706925858314 ,106414 ,2299,525769900,3,56,22.84389136,113.5111417,3.174770176,-5.5,-4.528904915,-5.600815387,0.050697231,0.466075098,-0.073636718,232.793278,0.036491219,0.036732703,0.033207946,0.019274538,0.019031035,0.010913135,0.030525567,0.030593922,0.170022786,0,0,2533536322
2,2024-02-03_02:04:18,1706925752 ,1706925858320190 ,1706925752000 ,100 ,1706925858320 ,106320 ,2299,525770000,3,56,22.84388726,113.5111362,3.179640319,-5.5,-4.547647317,-5.536761946,0.04000789,0.329862849,-0.162035536,232.4385928,0.036491219,0.036732703,0.033207946,0.019274538,0.019031035,0.010913135,0.030525567,0.030593922,0.170022786,0,0,2356041762
3,2024-02-03_02:04:18,1706925752 ,1706925858326620 ,1706925752100 ,100 ,1706925858327 ,106227 ,2299,525770100,3,56,22.84388317,113.5111308,3.183813296,-5.5,-4.508360421,-5.537446996,0.039631815,0.399117332,-0.165117252,231.9852751,0.036519874,0.036739804,0.033402588,0.019260423,0.018945707,0.010819219,0.02984485,0.029893102,0.169676185,0,0,1670969908
4,2024-02-03_02:04:18,1706925752 ,1706925858332620 ,1706925752200 ,100 ,1706925858333 ,106133 ,2299,525770200,3,56,22.84387908,113.5111255,3.189054639,-5.5,-4.54826018,-5.455760778,0.060842638,0.487548891,-0.170157097,231.5669776,0.036519874,0.036739804,0.033402588,0.019260423,0.018945707,0.010819219,0.02984485,0.029893102,0.169676185,0,0,1059991545
5,2024-02-03_02:04:18,1706925752 ,1706925858338090 ,1706925752300 ,100 ,1706925858338 ,106038 ,2299,525770300,3,56,22.84387496,113.5111202,3.190436,-5.5,-4.573106277,-5.391081182,0.025461627,0.316441527,-0.02509928,231.1971841,0.036519874,0.036739804,0.033402588,0.019260423,0.018945707,0.010819219,0.02984485,0.029893102,0.169676185,0,0,3385108574
6,2024-02-03_02:04:18,1706925752 ,1706925858344120 ,1706925752400 ,100 ,1706925858344 ,105944 ,2299,525770400,3,56,22.84387082,113.511115,3.194518375,-5.5,-4.607833762,-5.33014871,0.060692416,0.319525583,-0.07394723,230.7858274,0.036519874,0.036739804,0.033402588,0.019260423,0.018945707,0.010819219,0.02984485,0.029893102,0.169676185,0,0,1181838090
7,2024-02-03_02:04:18,1706925753 ,1706925858351170 ,1706925752500 ,100 ,1706925858351 ,105851 ,2299,525770500,3,56,22.84386666,113.5111098,3.19937737,-5.5,-4.615700129,-5.284427337,0.040686417,0.251804636,-0.159304612,230.4708122,0.036519874,0.036739804,0.033402588,0.019260423,0.018945707,0.010819219,0.02984485,0.029893102,0.169676185,0,0,411181820
8,2024-02-03_02:04:18,1706925753 ,1706925858358180 ,1706925752600 ,100 ,1706925858358 ,105758 ,2299,525770600,3,56,22.84386249,113.5111047,3.203266347,-5.5,-4.618178426,-5.237691765,0.033589491,0.142109971,-0.25242428,230.1933258,0.036519874,0.036739804,0.033402588,0.019260423,0.018945707,0.010819219,0.02984485,0.029893102,0.169676185,0,0,3921966065
9,2024-02-03_02:04:18,1706925753 ,1706925858365480 ,1706925752700 ,100 ,1706925858365 ,105665 ,2299,525770700,3,56,22.84385833,113.5110996,3.206865052,-5.5,-4.593432723,-5.22415612,0.018177212,0.454047198,-0.396626465,229.9331348,0.036519874,0.036739804,0.033402588,0.019260423,0.018945707,0.010819219,0.02984485,0.029893102,0.169676185,0,0,1375822441
10,2024-02-03_02:04:18,1706925753 ,1706925858371940 ,1706925752800 ,100 ,1706925858372 ,105572 ,2299,525770800,3,56,22.84385419,113.5110945,3.209344077,-5.5,-4.586701206,-5.171629365,0.033802278,0.509918732,-0.395681628,229.7697169,0.036519874,0.036739804,0.033402588,0.019260423,0.018945707,0.010819219,0.02984485,0.029893102,0.169676185,0,0,4094921676
11,2024-02-03_02:04:18,1706925753 ,1706925858378750 ,1706925752900 ,100 ,1706925858379 ,105479 ,2299,525770900,3,56,22.84385002,113.5110895,3.211293473,-5.5,-4.621990268,-5.106403277,-0.004229986,0.345643562,-0.244373507,229.5654165,0.036519874,0.036739804,0.033402588,0.019260423,0.018945707,0.010819219,0.02984485,0.029893102,0.169676185,0,0,1081283864
12,2024-02-03_02:04:18,1706925753 ,1706925858385680 ,1706925753000 ,100 ,1706925858386 ,105386 ,2299,525771000,3,56,22.84384585,113.5110846,3.211856371,-5.5,-4.617983449,-5.07810164,0.015743155,0.227323712,-0.169569028,229.3829906,0.036519874,0.036739804,0.033402588,0.019260423,0.018945707,0.010819219,0.02984485,0.029893102,0.169676185,0,0,3340366141
13,2024-02-03_02:04:18,1706925753 ,1706925858392620 ,1706925753100 ,100 ,1706925858393 ,105293 ,2299,525771100,3,56,22.84384169,113.5110797,3.210550254,-5.5,-4.584815855,-5.076739959,-0.044387109,0.237025983,-0.138980146,229.2597186,0.036519222,0.036706168,0.033485293,0.018976066,0.018724555,0.010735227,0.029238481,0.02941614,0.169164136,0,0,2618168882
14,2024-02-03_02:04:18,1706925753 ,1706925858398770 ,1706925753200 ,100 ,1706925858399 ,105199 ,2299,525771200,3,56,22.84383758,113.5110747,3.210210385,-5.5,-4.548982189,-5.060775988,0.045694619,0.312361368,-0.138625207,229.0740471,0.036519222,0.036706168,0.033485293,0.018976066,0.018724555,0.010735227,0.029238481,0.02941614,0.169164136,0,0,4052793020
15,2024-02-03_02:04:18,1706925753 ,1706925858405630 ,1706925753300 ,100 ,1706925858406 ,105106 ,2299,525771300,3,56,22.84383345,113.5110698,3.21827487,-5.5,-4.598329098,-4.968668324,0.069037886,0.34707729,-0.271916802,228.9988033,0.036519222,0.036706168,0.033485293,0.018976066,0.018724555,0.010735227,0.029238481,0.02941614,0.169164136,0,0,2293854915
16,2024-02-03_02:04:18,1706925753 ,1706925858412090 ,1706925753400 ,100 ,1706925858412 ,105012 ,2299,525771400,3,56,22.84382931,113.511065,3.224091247,-5.5,-4.57046019,-4.949577136,0.032581863,0.258315675,-0.221238493,228.9394772,0.036519222,0.036706168,0.033485293,0.018976066,0.018724555,0.010735227,0.029238481,0.02941614,0.169164136,0,0,1330978001
17,2024-02-03_02:04:18,1706925754 ,1706925858417900 ,1706925753500 ,100 ,1706925858418 ,104918 ,2299,525771500,3,56,22.8438252,113.5110602,3.225304957,-5.5,-4.55053085,-4.926375507,-0.004408572,0.081365644,-0.000963405,228.8428561,0.036519222,0.036706168,0.033485293,0.018976066,0.018724553,0.01073523,0.029238481,0.02941614,0.169164136,0,0,2406696174
18,2024-02-03_02:04:18,1706925754 ,1706925858424370 ,1706925753600 ,100 ,1706925858424 ,104824 ,2299,525771600,3,56,22.8438211,113.5110554,3.225717613,-5.5,-4.523078426,-4.908597351,0.014262014,0.158221404,0.148969262,228.7955919,0.036519222,0.036706168,0.033485293,0.018976066,0.018724553,0.01073523,0.029238481,0.02941614,0.169164136,0,0,1830662544
