,Localtime,gps_epoch_second,Receivetime,Week,Seconds,ImuStatus,ZAccel,YAccel,XAccel,ZGyro,YGyro,XGyro,CrcCheck
0,2024-02-03_02:04:18,1706925751.724,1706925858304670,2299,525769724,3850108416,-324701654,14719117,31441095,-35184534,-9278004,-7889645,896930282
1,2024-02-03_02:04:18,1706925751.732,1706925858304902,2299,525769732,3850108416,-324403918,14434022,31707395,-35235255,-10178146,-8437256,3549887634
2,2024-02-03_02:04:18,1706925751.74,1706925858305307,2299,525769740,3850108416,-317908233,17825573,29779387,-35145692,-11886811,-10089003,3670850633
3,2024-02-03_02:04:18,1706925751.748,1706925858305857,2299,525769748,3850042880,-319718443,22646801,30439030,-34618550,-13146818,-15503307,692437902
4,2024-02-03_02:04:18,1706925751.756,1706925858306259,2299,525769756,3850042880,-339040277,19646914,36026343,-34228399,-12494646,-19850453,256635839
5,2024-02-03_02:04:18,1706925751.764,1706925858306667,2299,525769764,3850108416,-353176270,9440959,37071480,-34357888,-10512312,-16902116,792956215
6,2024-02-03_02:04:18,1706925751.772,1706925858306837,2299,525769772,3850108416,-343429355,9746341,35263277,-35440468,-7049437,-9794942,1733405302
7,2024-02-03_02:04:18,1706925751.78,1706925858307491,2299,525769780,3850108416,-327533937,17371424,32066932,-36183756,-3833051,-6129596,2897952617
8,2024-02-03_02:04:18,1706925751.788,1706925858308152,2299,525769788,3850108416,-329671003,19999412,30205884,-36072574,-2680961,-9445022,3589478535
9,2024-02-03_02:04:18,1706925751.796,1706925858309092,2299,525769796,3850108416,-342346677,15050899,36195908,-36317043,-1279098,-12879026,268060204
10,2024-02-03_02:04:18,1706925751.804,1706925858309624,2299,525769804,3850108416,-350208311,5598962,40784868,-36545779,1144977,-9686698,79374836
11,2024-02-03_02:04:18,1706925751.812,1706925858309804,2299,525769812,3850108416,-345625116,10379254,41063644,-36732335,5476387,-4925612,1292804324
12,2024-02-03_02:04:18,1706925751.82,1706925858310329,2299,525769820,3850108416,-339908545,17389784,44508613,-36113106,10023768,-3084357,707609905
13,2024-02-03_02:04:18,1706925751.828,1706925858310882,2299,525769828,3850108416,-344493956,15049033,45233780,-36489837,17099216,-4548654,3761048976
14,2024-02-03_02:04:18,1706925751.836,1706925858311328,2299,525769836,3850108416,-346451308,17970218,42732513,-36366514,24566365,-5420151,3672986393
15,2024-02-03_02:04:18,1706925751.844,1706925858311777,2299,525769844,3850108416,-353470675,12621799,48271446,-34167349,30337785,-2437445,2766312668
16,2024-02-03_02:04:18,1706925751.852,1706925858311990,2299,525769852,3850042880,-360450062,7649336,57152757,-32638568,38832568,4307028,3178119004
17,2024-02-03_02:04:18,1706925751.86,1706925858312481,2299,525769860,3850108416,-351321221,10920718,57497881,-33464627,49424637,12658383,3619653719
18,2024-02-03_02:04:18,1706925751.868,1706925858312947,2299,525769868,3850108416,-333663208,17414824,53654587,-35188113,57633842,15319140,1713017909
19,2024-02-03_02:04:18,1706925751.876,1706925858313391,2299,525769876,3850108416,-322216054,27360497,51643556,-35267895,60654495,12510977,3709938940
20,2024-02-03_02:04:18,1706925751.884,1706925858313868,2299,525769884,3850108416,-329891986,26618600,52543439,-32820189,58431238,8254976,1679294100
21,2024-02-03_02:04:18,1706925751.892,1706925858314070,2299,525769892,3850108416,-337226260,20726551,52145173,-30263592,54078518,6380894,2486708165
22,2024-02-03_02:04:18,1706925751.9,1706925858314907,2299,525769900,3850108416,-332691742,18768112,46768497,-30408775,49906167,9287678,897051624
23,2024-02-03_02:04:18,1706925751.908,1706925858315258,2299,525769908,3850108416,-323481344,27564214,43293308,-30554418,43130662,9376129,4121414423
24,2024-02-03_02:04:18,1706925751.916,1706925858315944,2299,525769916,3850108416,-324132430,28277014,52070048,-29240154,36082619,2787230,1749645929
25,2024-02-03_02:04:18,1706925751.924,1706925858316715,2299,525769924,3850108416,-337436929,10875825,59257696,-28748389,33713181,-2119511,1383366352
26,2024-02-03_02:04:18,1706925751.932,1706925858316936,2299,525769932,3850108416,-337095648,6115576,47710744,-28086805,31297891,3500218,911745697
27,2024-02-03_02:04:18,1706925751.94,1706925858317412,2299,525769940,3850108416,-326896603,9566680,35926596,-26509437,24800737,10604213,1659877940
28,2024-02-03_02:04:18,1706925751.948,1706925858317885,2299,525769948,3850108416,-328338071,14057204,35419273,-26424385,18609659,12885188,943523325
29,2024-02-03_02:04:18,1706925751.956,1706925858318349,2299,525769956,3850108416,-327259330,26136793,27299883,-26945083,12175613,12641560,1934076200
30,2024-02-03_02:04:18,1706925751.964,1706925858318836,2299,525769964,3850108416,-322261767,26383709,14486806,-26845810,3606158,7603507,1430077682
31,2024-02-03_02:04:18,1706925751.972,1706925858319061,2299,525769972,3850108416,-323058619,13894838,12735392,-28407837,-3654851,6369752,782839244
32,2024-02-03_02:04:18,1706925751.98,1706925858319540,2299,525769980,3850108416,-317194736,13328880,11834556,-31555190,-8827642,9615454,753702546
33,2024-02-03_02:04:18,1706925751.988,1706925858319930,2299,525769988,3850108416,-318368350,20810076,7915997,-32690594,-14195071,6838269,255078913
34,2024-02-03_02:04:18,1706925751.996,1706925858320884,2299,525769996,3850108416,-337422155,12251218,6905675,-31668391,-19922427,756549,1895857727
35,2024-02-03_02:04:18,1706925752.004,1706925858321362,2299,525770004,3850108416,-339461514,2897799,-662972,-31141718,-24085952,782331,2557323360
36,2024-02-03_02:04:18,1706925752.012,1706925858321537,2299,525770012,3850108416,-317023943,10901473,-4316057,-32674703,-23238609,3557141,4209509392
37,2024-02-03_02:04:18,1706925752.02,1706925858322015,2299,525770020,3850108416,-312900028,14552919,-2859380,-35311038,-17980726,3492723,4095426554
38,2024-02-03_02:04:18,1706925752.028,1706925858322457,2299,525770028,3850108416,-326211218,13943316,-5536067,-36085293,-14022810,4028052,3378443937
39,2024-02-03_02:04:18,1706925752.036,1706925858322884,2299,525770036,3850108416,-328552557,16251834,-8185254,-36517682,-11049267,3792013,1677730239
40,2024-02-03_02:04:18,1706925752.044,1706925858323627,2299,525770044,3850108416,-327857541,12616477,-11896585,-37097085,-7769569,3205923,3431613194
41,2024-02-03_02:04:18,1706925752.052,1706925858323849,2299,525770052,3850108416,-321176644,14879840,-5581426,-37519144,-5351236,5355237,2581101751
42,2024-02-03_02:04:18,1706925752.06,1706925858324665,2299,525770060,3850108416,-319678247,13490482,3980883,-38231796,-1431492,3269506,322853294
43,2024-02-03_02:04:18,1706925752.068,1706925858325151,2299,525770068,3850108416,-330397331,15523885,6995739,-38780322,3833043,213152,3822810983
44,2024-02-03_02:04:18,1706925752.076,1706925858325539,2299,525770076,3850108416,-336553184,18861552,6651375,-39096196,7073632,-2585055,4255980218
45,2024-02-03_02:04:18,1706925752.084,1706925858326012,2299,525770084,3850108416,-331739725,15162086,6615646,-39414160,8921494,-5538114,1703834456
46,2024-02-03_02:04:18,1706925752.092,1706925858326277,2299,525770092,3850108416,-325548321,16453417,10977046,-40022334,9659360,-1197001,3595298301
47,2024-02-03_02:04:18,1706925752.1,1706925858327286,2299,525770100,3850108416,-332118769,18029113,17359012,-39217871,7758698,-16026,1049050167
48,2024-02-03_02:04:18,1706925752.108,1706925858327668,2299,525770108,3850042880,-340351229,16618737,26245748,-38093545,4458254,-2015218,2646967371
49,2024-02-03_02:04:18,1706925752.116,1706925858328088,2299,525770116,3850042880,-344057687,12148101,30690331,-38155934,2061604,-154456,4098635896
50,2024-02-03_02:04:18,1706925752.124,1706925858328623,2299,525770124,3850108416,-340185658,13928656,33907797,-38252181,-318690,3755728,2922966084
51,2024-02-03_02:04:18,1706925752.132,1706925858328805,2299,525770132,3850108416,-332261821,16555127,41779271,-37755891,-3059013,5034966,416179462
52,2024-02-03_02:04:18,1706925752.14,1706925858329334,2299,525770140,3850108416,-327046844,23343006,45736513,-37004778,-4375625,3381852,954901165
53,2024-02-03_02:04:18,1706925752.148,1706925858329774,2299,525770148,3850108416,-331873786,23079684,44976063,-35759504,-5670661,-339339,2777651351
54,2024-02-03_02:04:18,1706925752.156,1706925858330342,2299,525770156,3850108416,-334756988,15816419,47536627,-34329809,-7092530,-2425782,3438555990
55,2024-02-03_02:04:18,1706925752.164,1706925858330795,2299,525770164,3850108416,-327952662,14229217,48768373,-33860390,-6396419,1271247,4210935753
56,2024-02-03_02:04:18,1706925752.172,1706925858330991,2299,525770172,3850108416,-328524760,14810476,36605682,-32765718,-7292304,3322441,395320816
57,2024-02-03_02:04:18,1706925752.18,1706925858331716,2299,525770180,3850108416,-333429243,19900189,26981985,-30667584,-12552504,971153,3403837080
58,2024-02-03_02:04:18,1706925752.188,1706925858332327,2299,525770188,3850108416,-336835573,22999617,34652444,-29551950,-15596183,-2009866,2571498091
59,2024-02-03_02:04:18,1706925752.196,1706925858333259,2299,525770196,3850108416,-344772662,14529503,50556672,-29065081,-13832215,-1436138,7467953
60,2024-02-03_02:04:18,1706925752.204,1706925858333782,2299,525770204,3850108416,-325056533,12124126,63162846,-29935010,-8995426,4859537,2202206530
61,2024-02-03_02:04:18,1706925752.212,1706925858333995,2299,525770212,3850108416,-288506522,14396535,48873589,-32932593,-495675,10346920,2285507771
62,2024-02-03_02:04:18,1706925752.22,1706925858334621,2299,525770220,3850108416,-274064877,24231357,21525648,-32892397,2642729,5515662,2383286855
63,2024-02-03_02:04:18,1706925752.228,1706925858335063,2299,525770228,3850108416,-282743941,16677387,24884720,-30134744,-2013553,-2055487,313980115
64,2024-02-03_02:04:18,1706925752.236,1706925858335495,2299,525770236,3850108416,-264796258,25458867,35137492,-29694595,-489987,-5365962,1014940724
65,2024-02-03_02:04:18,1706925752.244,1706925858335921,2299,525770244,3850108416,-269889412,20796655,30613292,-28329915,8821505,-18572622,4098835857
66,2024-02-03_02:04:18,1706925752.252,1706925858336154,2299,525770252,3850108416,-298236431,5013796,37761831,-24644495,14022938,-20200340,3253112801
67,2024-02-03_02:04:18,1706925752.26,1706925858336504,2299,525770260,3850108416,-319874283,-1787963,21787078,-24993942,20048529,-19001629,814611668
68,2024-02-03_02:04:18,1706925752.268,1706925858336877,2299,525770268,3850108416,-324174492,21164152,6148398,-28620859,22552040,-8687106,2869605983
69,2024-02-03_02:04:18,1706925752.276,1706925858337250,2299,525770276,3850108416,-340233433,28473810,26772964,-31408097,25559619,-22761231,1451378445
70,2024-02-03_02:04:18,1706925752.284,1706925858337661,2299,525770284,3850108416,-358708963,32492505,40706619,-33398608,30609861,-33344676,2690455303
71,2024-02-03_02:04:18,1706925752.292,1706925858337833,2299,525770292,3850108416,-382302355,14538930,14740922,-34125155,29140568,-18132675,835752817
72,2024-02-03_02:04:18,1706925752.3,1706925858338625,2299,525770300,3850108416,-394614557,-16439615,-14232741,-34246388,21931167,1172850,921505987
73,2024-02-03_02:04:18,1706925752.308,1706925858339293,2299,525770308,3850108416,-339641259,21168509,-976233,-34706943,12348565,27952478,3828915312
74,2024-02-03_02:04:18,1706925752.316,1706925858339883,2299,525770316,3850108416,-312406166,30811578,20917239,-35210546,8841275,16253459,1160392093
75,2024-02-03_02:04:18,1706925752.324,1706925858340734,2299,525770324,3850108416,-321352191,17984089,31970719,-34440581,6146899,-1122288,2992025758
76,2024-02-03_02:04:18,1706925752.332,1706925858340949,2299,525770332,3850108416,-342975232,11505033,36807704,-34375857,4157636,-2598274,1092778933
77,2024-02-03_02:04:18,1706925752.34,1706925858341489,2299,525770340,3850108416,-351175881,19939645,39692738,-35699447,4668277,-358295,3646746759
78,2024-02-03_02:04:18,1706925752.348,1706925858341875,2299,525770348,3850108416,-348110742,20637800,36922071,-36639868,5317923,-2479236,1406594643
79,2024-02-03_02:04:18,1706925752.356,1706925858342249,2299,525770356,3850108416,-344036227,23860022,35353233,-36180175,3541211,-2685343,1927617566
80,2024-02-03_02:04:18,1706925752.364,1706925858342650,2299,525770364,3850108416,-345851465,21764531,35913592,-35147367,1440333,-7245780,2779674215
81,2024-02-03_02:04:18,1706925752.372,1706925858342942,2299,525770372,3850108416,-347758485,11679120,30412448,-33543213,-2159327,-11845048,1349842289
82,2024-02-03_02:04:18,1706925752.38,1706925858343286,2299,525770380,3850108416,-343286071,1806681,31872308,-31108136,-7912715,-5054729,3071316537
83,2024-02-03_02:04:18,1706925752.388,1706925858343841,2299,525770388,3850108416,-337580514,5763741,50857806,-29922968,-9110927,8419696,3100488357
84,2024-02-03_02:04:18,1706925752.396,1706925858344722,2299,525770396,3850108416,-331486274,20780572,58538203,-30999997,-2653151,14802307,4182400454
85,2024-02-03_02:04:18,1706925752.404,1706925858345284,2299,525770404,3850108416,-329276838,17184727,38757280,-31372387,3253806,13126919,2936272627
86,2024-02-03_02:04:18,1706925752.412,1706925858345749,2299,525770412,3850108416,-320587364,12858593,22193703,-30069392,3626486,10633443,3809935888
87,2024-02-03_02:04:18,1706925752.42,1706925858346144,2299,525770420,3850108416,-315396095,13847497,15973950,-28953086,2352725,4188843,3515429291
88,2024-02-03_02:04:18,1706925752.428,1706925858346791,2299,525770428,3850108416,-322270060,10834313,13882581,-27689000,-1119551,2088545,3998772287
89,2024-02-03_02:04:18,1706925752.436,1706925858347549,2299,525770436,3850042880,-323135492,19757319,21543633,-25623380,-5133706,320591,3852562950
90,2024-02-03_02:04:18,1706925752.444,1706925858348147,2299,525770444,3850108416,-326818177,16888757,30822968,-24960445,-3653483,-5560520,3979325549
91,2024-02-03_02:04:18,1706925752.452,1706925858348282,2299,525770452,3850108416,-324717943,11533341,31656628,-25717887,1871614,-4914158,90323675
92,2024-02-03_02:04:18,1706925752.46,1706925858348943,2299,525770460,3850108416,-318717426,7476876,22938545,-25769745,7265561,1191758,3414683491
