Localtime,Receivetime,Week,Seconds,DataCount,PitchRate,RollRate,YawRate,LateralAcc,LongitudinalAcc,VerticalAcc,CrcCheck
2024-02-03_02:04:18,1706925858304502,2299,525769730,1,0.0001632098110772,0.0001586982028939,0.0005921830070516,-0.0043690001595071,-0.0030595124376276,-0.0010489651653226,3060703127
2024-02-03_02:04:18,1706925858305034,2299,525769740,2,0.0002798770083096,0.0003496984097004,0.001191151373696,-0.00881377489864,-0.0045197292626159,-0.0017794159698718,616337621
2024-02-03_02:04:18,1706925858305519,2299,525769750,1,0.0001727736242936,0.0002116181257733,0.0005944817036343,-0.0039539174065494,-0.0030578602745223,-0.0024740874385992,1986830645
2024-02-03_02:04:18,1706925858306043,2299,525769760,1,0.0002650992817311,0.000233079360647,0.000585500777955,-0.0040932608743653,-0.0042334516446367,-0.0020421270329806,3551649551
2024-02-03_02:04:18,1706925858306438,2299,525769770,1,0.0003392276240606,0.0002219714557299,0.0005788536931239,-0.0054114997280576,-0.0035425773662131,0.0025662499236993,799333277
2024-02-03_02:04:18,1706925858307207,2299,525769780,2,0.0004567126413768,0.0003174340940885,0.001180562575935,-0.0108506231757118,-0.0023324438960896,0.0095511759691127,3437417614
2024-02-03_02:04:18,1706925858307675,2299,525769790,1,0.0001052584716885,7.44437441089e-05,0.0006121661096485,-0.0044340742774089,-0.0030440485713994,-0.0001775192569003,3699225498
2024-02-03_02:04:18,1706925858308837,2299,525769800,1,0.0001617937622781,5.48210532522e-05,0.000610271865498,-0.0039848283591259,-0.0036865816266483,0.0003322195672638,777462467
2024-02-03_02:04:18,1706925858309409,2299,525769810,1,0.0002203510553516,3.09440993874e-05,0.0006144367440749,-0.0054143405441706,-0.0025199921975337,0.0033553295844202,1745161401
2024-02-03_02:04:18,1706925858310030,2299,525769820,2,0.0002506440715547,-9.44616519183e-05,0.0012398454064557,-0.0130975084216093,-0.0016939050016962,0.0093673708356431,1814434900
2024-02-03_02:04:18,1706925858310633,2299,525769830,1,5.33316649124e-05,-0.0001615708436628,0.0006109621984479,-0.0074215359991639,-0.0031059768218704,0.0027735311687821,3093575627
2024-02-03_02:04:18,1706925858311121,2299,525769840,1,7.83012077377e-05,-0.0002820828879412,0.0006173805171092,-0.0076169623778216,-0.0025525102991273,0.0038667882305367,1868321607
2024-02-03_02:04:18,1706925858311581,2299,525769850,1,9.31622218204e-05,-0.0004092665674102,0.0006152795905889,-0.0070510391708799,-0.0032598254597734,0.0043331229478705,1510544000
2024-02-03_02:04:18,1706925858312266,2299,525769860,2,-3.04058969914e-05,-0.0011598224504591,0.0011295810414426,-0.0190040488700468,-0.0027714852991959,0.013677078350176,1871351430
2024-02-03_02:04:18,1706925858312693,2299,525769870,1,-0.0002151150981663,-0.000832663387902,0.0005658415535164,-0.0107368239613434,-0.0015548932358294,0.0054924106880465,2753948619
2024-02-03_02:04:18,1706925858313186,2299,525769880,1,-0.0002604866834829,-0.000972486061236,0.0005952045556351,-0.0098941645336898,-0.0030896747267969,0.0012801329706446,1068924917
2024-02-03_02:04:18,1706925858313668,2299,525769890,1,-0.0002126015541555,-0.0010239349018157,0.0005965642794307,-0.0094935486467811,-0.0054544240927242,-0.0014508560417824,1453835327
2024-02-03_02:04:18,1706925858314635,2299,525769900,2,-0.0002480983830823,-0.0018979963177596,0.001066172118126,-0.0195478591438275,-0.0091140655146189,0.0025065608058126,4290540001
2024-02-03_02:04:18,1706925858315028,2299,525769910,1,-0.0001576375733844,-0.0008408636088639,0.0005137821250587,-0.0085424556835297,-0.0033669276092478,0.0010455325700772,4162576801
2024-02-03_02:04:18,1706925858315690,2299,525769920,1,-0.0001591458774737,-0.000725459828646,0.0005162638162703,-0.0077684298525542,-0.0054604524814691,-0.0011515237933492,4238681284
2024-02-03_02:04:18,1706925858316246,2299,525769930,1,-4.67911109364e-05,-0.0006054140542103,0.0004938734072736,-0.0099139538749916,-0.0056277021395604,-0.0009965730307052,3626667530
2024-02-03_02:04:18,1706925858317205,2299,525769940,2,-2.20697255371e-05,-0.0010889744136918,0.0009597202155546,-0.0206334132985021,-0.0017865144239227,0.0042707502663322,1963086994
2024-02-03_02:04:18,1706925858317632,2299,525769950,1,-0.0001800872382862,-0.000413255203154,0.000447351644735,-0.0061721655724241,-0.0011335286519326,-0.000338012857765,3581585430
2024-02-03_02:04:18,1706925858318140,2299,525769960,1,-0.0002189826697691,-0.0003078056765099,0.0004459028710894,-0.0060749259249414,-0.0021915358247635,5.6776731003e-06,1165739655
2024-02-03_02:04:18,1706925858318634,2299,525769970,1,-0.0002148282179222,-0.0001982177986824,0.0004547740686453,-0.00414935320377,-0.0050665850767726,-0.0002516348431494,2850332053
2024-02-03_02:04:18,1706925858319334,2299,525769980,2,-0.0002367988680976,1.91557803035e-05,0.0009327777782119,-0.0017561743407709,-0.0072336108691456,-0.0026969385952493,1876111020
2024-02-03_02:04:18,1706925858319716,2299,525769990,1,-0.0001632262507726,0.0001595200178138,0.0005333154729883,-0.0004379551395772,-0.0019697866694275,-0.0026518285463636,3678746331
2024-02-03_02:04:18,1706925858320628,2299,525770000,1,-0.0001158691189816,0.0002509408073197,0.000552659037866,0.000518577373382,-0.0037518433977553,-0.0023717985667951,3873101044
2024-02-03_02:04:18,1706925858321108,2299,525770010,1,-1.2162598158e-05,0.0003484920367562,0.0005352439654782,0.0007875035530211,-0.0017022491186435,0.0021725905760769,38894799
2024-02-03_02:04:18,1706925858321765,2299,525770020,2,-7.25154873099e-05,0.0008243799109918,0.0010787089987989,0.0061639560433538,-0.0008375622621061,-3.27123459098e-05,290136287
2024-02-03_02:04:18,1706925858322251,2299,525770030,1,-5.88147697461e-05,0.0003154180648571,0.0005973526279878,0.0032107284251933,-0.0022449640180355,-0.0036752327992075,3822967946
2024-02-03_02:04:18,1706925858322631,2299,525770040,1,-6.79429864372e-05,0.0002480052345485,0.0006105433708565,0.0038701685895555,-0.0020940521164969,-0.0005004339973596,2526023110
2024-02-03_02:04:18,1706925858323209,2299,525770050,1,-6.39177673876e-05,0.0001973587182377,0.0006179098296133,0.0045190752650182,-0.0026420292070899,5.80882812118e-05,3571310
2024-02-03_02:04:18,1706925858324424,2299,525770060,2,-0.0001444969875348,0.0002418053412384,0.0012627524335277,0.0093333578155032,-0.0040709334176984,-0.0018084314642633,4001903261
2024-02-03_02:04:18,1706925858324894,2299,525770070,1,-5.50072035058e-05,3.35450698579e-05,0.0006471127955905,0.0016326428617515,-0.0019665052425342,-0.002058183025346,3937214547
2024-02-03_02:04:18,1706925858325331,2299,525770080,1,-2.8897187343e-06,-5.61226937343e-05,0.0006564579483902,0.0009076723301222,-0.0024534426115675,0.0004982293383062,3939731074
2024-02-03_02:04:18,1706925858325762,2299,525770090,1,4.48257995655e-05,-0.0001113176599827,0.0006618394673587,0.0009814361153951,-0.0032563372804704,0.0019662928065431,63395643
2024-02-03_02:04:18,1706925858327032,2299,525770100,2,0.0001163388011527,-0.0002981495227763,0.0013448745926076,0.0009032536690261,-0.0050683089729942,0.00015970329556,3647683848
2024-02-03_02:04:18,1706925858327469,2299,525770110,1,1.0190234183e-06,-0.000122985217428,0.0006639125442191,-0.0016108520246029,-0.0030673900305701,0.0009084480244795,459342141
2024-02-03_02:04:18,1706925858327927,2299,525770120,1,3.5109643535e-05,-6.67702144479e-05,0.0006447576354179,-0.003740399574666,-0.0027328655035865,0.0028718050133076,3459640477
2024-02-03_02:04:18,1706925858328317,2299,525770130,1,3.3799370221e-06,-2.59490743006e-05,0.0006458205632313,-0.0048048088894317,-0.0016632644303848,0.0037557653941244,532630891
2024-02-03_02:04:18,1706925858329037,2299,525770140,2,-0.0001484069089775,7.58617451367e-05,0.0012864654376416,-0.0130221805648041,-0.0047922193877631,0.003774933529514,2030278460
2024-02-03_02:04:18,1706925858329517,2299,525770150,1,-5.69208972976e-05,8.36937016325e-05,0.0006262085317479,-0.0083888118282799,-0.004328139463615,-0.0003010775921385,2739051854
2024-02-03_02:04:18,1706925858329998,2299,525770160,1,6.5334627666e-06,0.0001057516438078,0.0006049929835991,-0.0081985959574079,-0.0042659511931084,0.0008501894181879,2573762809
2024-02-03_02:04:18,1706925858330515,2299,525770170,1,4.21119296419e-05,0.0001299698420594,0.0005806354542768,-0.008800411490612,-0.0025308420764991,0.0015378910755826,2414497760
2024-02-03_02:04:18,1706925858331457,2299,525770180,2,-7.68368858899e-05,0.0002514865520134,0.0011266261472894,-0.0152527919032847,-0.0044342395056638,-3.31037131745e-05,4202519883
2024-02-03_02:04:18,1706925858331983,2299,525770190,1,-1.58122987237e-05,0.0002229674267609,0.0005182425701377,-0.00384907826974,-0.0035021505304779,0.0012215569638402,966690391
2024-02-03_02:04:18,1706925858333028,2299,525770200,1,3.50205686751e-05,0.0002748090280879,0.0004992356056703,-0.0056611403542356,-0.0042471656601905,0.002034117259869,2404817325
2024-02-03_02:04:18,1706925858333510,2299,525770210,1,2.52375296208e-05,0.000244764492328,0.0004909407701873,-0.0094439230926225,-0.0022218160210562,0.0039272299330911,4094449559
2024-02-03_02:04:18,1706925858334355,2299,525770220,2,-0.0002578047111216,0.0001799928814356,0.0010625922943435,-0.0214719300713194,-0.0038103859879519,-0.010266571758402,4064590548
2024-02-03_02:04:18,1706925858334806,2299,525770230,1,-9.33046625008e-05,-3.58438409548e-05,0.0005561460342273,-0.0024920848768066,-0.0045178911089373,-0.0129359923755833,773654727
2024-02-03_02:04:18,1706925858335265,2299,525770240,1,3.57995286915e-05,4.34644103827e-05,0.000509164392052,-0.0032915798401813,-0.0027127193216321,-0.0108660566311456,3858820079
2024-02-03_02:04:18,1706925858335720,2299,525770250,1,9.225027037e-05,1.75145186521e-05,0.0005016656144609,-0.0057411172064149,-0.0048224623268087,-0.0151464906273881,667012196
2024-02-03_02:04:18,1706925858336289,2299,525770260,2,0.0006626596833468,-0.0003707591953194,0.0008940435344407,-0.0110678557620906,-0.0037122459922199,-0.0211035269326338,2555915495
